AWB,Origin,Destination,FinalLocation,Timestamp
AWBIE1CP/3,HUB_CLUJ,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWB9UT889/1,HUB_CLUJ,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWB9UT889/2,HUB_CLUJ,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWB9UT889/3,HUB_CLUJ,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBOE4TWR/1,HUB_CLUJ,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBOE4TWR/2,HUB_CLUJ,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBOE4TWR/3,HUB_CLUJ,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWB8XPUVI/1,HUB_BACAU,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBW7QTEG/1,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBW7QTEG/2,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBW7QTEG/3,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBF23HWF/1,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBF23HWF/2,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBF23HWF/3,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWB8WVQZKI/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWB8WVQZKI/2,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWB8WVQZKI/3,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBWP2E6/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBWP2E6/2,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBWP2E6/3,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBOPR56/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBG9T13DS/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBIX9XV/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBIX9XV/2,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBIX9XV/3,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWB6B0L9/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBGP6TAM/1,HUB_ORADEA,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWBGP6TAM/2,HUB_ORADEA,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWBGP6TAM/3,HUB_ORADEA,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWBV5OOEO/1,HUB_ORADEA,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWB4MUROE/1,HUB_ORADEA,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWB4MUROE/2,HUB_ORADEA,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWBGD2JI/1,HUB_TIMISOARA,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBGD2JI/2,HUB_TIMISOARA,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWB21EY2D/1,HUB_TIMISOARA,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWB21EY2D/2,HUB_TIMISOARA,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBF8B9RN/1,HUB_TIMISOARA,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBL6WY8P/1,HUB_TIMISOARA,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBCOEOJY/1,HUB_TIMISOARA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBCOEOJY/2,HUB_TIMISOARA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBZXTBL/1,HUB_TIMISOARA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBZXTBL/2,HUB_TIMISOARA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBZXTBL/3,HUB_TIMISOARA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBFBVMTS/1,HUB_TIMISOARA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBFBVMTS/2,HUB_TIMISOARA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWB5WWEZ/1,HUB_TIMISOARA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBIY8N4M/1,HUB_TIMISOARA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBIY8N4M/2,HUB_TIMISOARA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBTGFW2/1,HUB_CRAIOVA,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBTGFW2/2,HUB_CRAIOVA,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBY30I26/1,HUB_CRAIOVA,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBVDYAZ/1,HUB_CRAIOVA,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBI58N/1,HUB_CRAIOVA,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBI58N/2,HUB_CRAIOVA,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWB2XVWY/1,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBG6CQBQ/1,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBG6CQBQ/2,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBG6CQBQ/3,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBY7V3HI/1,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBY7V3HI/2,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBAJ44F/1,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBAJ44F/2,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBAJ44F/3,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWB27IPT1N/1,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWB27IPT1N/2,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWB6F0XCS/1,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWB6F0XCS/2,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWB6F0XCS/3,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWBZCAAC/1,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWB4Y8RSD/1,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWBO1V68R/1,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWBO1V68R/2,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWBO1V68R/3,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWBKKSXCJ/1,HUB_PITESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWBKKSXCJ/2,HUB_PITESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWB3RW6E/1,HUB_PITESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWB3RW6E/2,HUB_PITESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWB3RW6E/3,HUB_PITESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWBCTKLPI/1,HUB_PITESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWBCTKLPI/2,HUB_PITESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWBQM7WEIC/1,HUB_PITESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWB808PVM/1,HUB_PITESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWB808PVM/2,HUB_PITESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWB808PVM/3,HUB_PITESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWB825DNC/1,HUB_BUCURESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWBYWLOQ/1,HUB_BUCURESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWBYWLOQ/2,HUB_BUCURESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWB1HI7KC/1,HUB_BUCURESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWBVFD693/1,HUB_BUCURESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWBH7FAMJ/1,HUB_BUCURESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWB1GEVIN/1,HUB_BUCURESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWB1GEVIN/2,HUB_BUCURESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWB1GEVIN/3,HUB_BUCURESTI,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:18 EET 2026
AWBCMV0RD/1,HUB_BUCURESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:18 EET 2026
AWBCMV0RD/2,HUB_BUCURESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:18 EET 2026
AWBMTKCU/1,HUB_OTOPENI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:18 EET 2026
AWBMTKCU/2,HUB_OTOPENI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:18 EET 2026
AWB7IR1G/1,HUB_OTOPENI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:18 EET 2026
AWBPJ28VQ/1,HUB_OTOPENI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:18 EET 2026
AWBPJ28VQ/2,HUB_OTOPENI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:18 EET 2026
AWBPLDQ9G/1,HUB_OTOPENI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:18 EET 2026
AWB568JWI/1,HUB_PLOIESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:18 EET 2026
AWBHEOZJX/1,HUB_BUCURESTI,HUB_OTOPENI,HUB_OTOPENI,Fri Jan 30 00:18:18 EET 2026
AWBHEOZJX/2,HUB_BUCURESTI,HUB_OTOPENI,HUB_OTOPENI,Fri Jan 30 00:18:18 EET 2026
AWBB8QMFI/1,HUB_BUCURESTI,HUB_OTOPENI,HUB_OTOPENI,Fri Jan 30 00:18:18 EET 2026
AWBB8QMFI/2,HUB_BUCURESTI,HUB_OTOPENI,HUB_OTOPENI,Fri Jan 30 00:18:18 EET 2026
